MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M22750H	3	6	5	6	7	7	8	2	6
M22765Q	3	1	1	1	1	1	1	6	1
M22773Q	3	3	2	4	3	3	6	8	4
M22774R	3	9	9	7	8	8	10	7	2
M22788X	3	9	8	7	8	8	9	6	2
M22809K	3	2	2	3	3	1	3	8	2
M22834L	3	8	7	8	7	8	9	7	6
M22867V	3	6	7	5	6	6	7	2	3
M22880S	3	7	6	6	6	10	4	10	4
M22891V	3	9	10	9	10	10	10	1	3
M22897B	3	5	5	4	4	5	4	10	3
M22917N	3	3	3	4	3	3	5	4	2
M22923L	3	7	7	7	9	6	10	2	6
M22934P	3	9	10	9	9	6	10	3	1
M22988D	3	5	5	5	5	6	6	3	2
M23022L	3	4	3	3	5	7	7	6	4
M23054U	3	5	3	5	6	5	3	10	4
M23058Y	3	8	9	9	6	9	6	1	5
M23066Y	3	7	9	8	7	8	8	1	5
M23090Y	3	8	10	9	9	3	10	2	2
M23103L	3	2	3	3	2	1	3	9	1
M23121N	3	10	9	9	10	10	9	8	1
M23127U	3	8	8	9	8	8	5	2	5
M23139Y	3	6	6	6	8	8	4	3	6
M23149A	3	8	9	8	10	8	9	1	6
M23165A	3	9	8	8	9	8	8	4	4
M23167C	3	6	5	4	7	7	9	5	1
M23186F	3	8	9	10	7	8	5	1	5
M23198K	3	8	7	9	8	9	8	1	5
M23229Z	3	10	10	10	8	10	10	5	3
M23272C	3	2	2	2	2	2	3	5	2
M23315W	3	7	8	9	7	8	9	2	5
M23319A	3	9	10	8	9	9	10	3	2
M23330V	3	7	6	7	7	6	5	9	3
M23345C	3	2	2	2	3	5	4	2	4
M23356F	3	6	7	6	7	4	3	2	5
M23360B	3	7	6	6	6	6	7	6	5
M23408A	3	10	10	10	10	10	9	2	5
M23435D	3	2	1	2	3	1	2	5	1
M23463H	3	9	8	8	6	7	5	10	1
M23500V	3	5	5	5	6	4	4	4	2
M23548M	3	3	4	2	2	2	2	7	1
M23549N	3	2	2	2	2	3	4	4	1
M23551G	3	9	8	9	10	10	7	2	5
M23577S	3	10	9	9	10	10	9	9	1
M23589W	3	10	10	10	10	10	9	7	1
M23593S	3	9	10	9	10	10	9	2	1
M23691T	3	7	6	7	8	7	7	4	3
M23719N	3	9	8	8	9	8	8	6	2
M23728P	3	9	10	10	10	9	8	1	5
M23732K	3	5	4	5	7	5	9	3	2
M23754R	3	8	8	8	7	10	3	5	1
M23756T	3	8	9	10	8	9	9	1	6
M23762R	3	10	10	10	10	10	10	8	1
M23765U	3	9	7	8	9	9	9	7	3
M23770R	3	8	7	9	6	10	8	2	1
M23776X	3	1	1	1	1	1	3	5	2
M23813K	3	6	7	5	4	4	6	10	2
M23828S	3	3	3	4	4	2	3	5	1
M23832N	3	4	4	4	2	6	2	10	1
M23946X	3	9	9	7	7	10	9	7	2
M23967C	3	1	1	1	1	1	1	6	1
M23988H	3	5	4	4	5	6	3	10	1
M24012N	3	1	1	1	1	1	2	5	1
M24036W	3	3	2	3	3	3	6	8	3
M24037X	3	6	5	4	7	7	6	5	3
M24038Y	3	3	3	3	5	1	4	5	3
M24054Y	3	3	3	2	3	2	6	6	2
