MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M10079L	3	10	10	10	10	10	10	9	1
M10096M	3	6	5	5	6	6	5	9	4
M10100Q	3	8	7	7	7	8	8	10	6
M10126A	3	10	10	9	10	8	10	5	2
M10154E	3	10	10	10	10	10	9	9	1
M10176L	3	10	10	10	10	10	10	1	2
M10193M	3	7	7	7	6	7	9	6	2
M10205Y	3	5	8	6	3	6	7	1	6
M10224B	3	10	10	9	9	8	10	4	2
M10252F	3	10	10	9	10	10	10	2	1
M10254H	3	8	9	8	9	6	6	3	2
M10256K	3	1	1	1	1	2	3	10	2
M10258M	3	4	4	5	6	3	5	3	4
M10264K	3	9	10	8	8	8	9	4	1
M10324E	3	3	3	4	3	2	7	4	3
M10335H	3	9	9	10	9	8	8	2	5
M10366Q	3	6	8	7	7	5	4	1	6
M10385T	3	10	10	9	9	7	10	5	2
M10394U	3	10	10	10	10	10	10	6	1
M10395V	3	1	1	2	2	1	1	6	1
M10397X	3	10	10	10	9	10	10	4	3
M10401A	3	7	7	6	5	6	8	7	2
M10466T	3	8	7	9	8	6	4	10	1
M10529R	3	7	7	7	8	8	8	2	5
M10571T	3	6	9	5	8	9	8	1	5
M10587B	3	1	1	1	1	4	3	8	2
M10612K	3	9	10	9	10	10	9	2	1
M10658Z	3	8	8	8	9	10	9	1	5
M10679E	3	5	5	4	3	6	7	3	1
M10722Q	3	10	10	10	9	10	10	4	3
M10733T	3	10	10	10	10	9	10	6	5
M10740S	3	10	10	10	10	10	9	9	1
M10741T	3	10	9	10	10	10	10	6	2
M10770Y	3	4	3	4	8	8	5	2	6
M10815U	3	9	10	9	9	9	9	2	2
M10840V	3	5	6	4	7	9	6	1	6
M10850X	3	10	10	9	8	10	10	8	2
M10852Z	3	8	8	9	10	9	8	1	6
M10863C	3	1	2	1	1	2	1	6	1
M10879L	3	3	3	3	2	4	6	10	6
M10923X	3	5	6	5	6	6	4	1	5
M10953D	3	7	6	7	8	7	7	4	3
M11011U	3	10	10	10	10	10	10	2	5
M11021W	3	4	4	4	2	5	2	10	2
M11066K	3	4	4	3	4	4	2	4	1
M11084M	3	2	2	2	5	2	5	5	6
M11108C	3	6	5	5	8	6	7	4	6
M11143F	3	5	7	5	7	5	7	2	2
M11148L	3	10	10	9	10	10	10	2	1
M11171K	3	4	3	3	5	4	4	9	1
M11212B	3	10	8	10	10	10	9	5	2
M11217G	3	9	9	9	10	9	10	1	3
M11239N	3	4	4	4	2	3	3	6	1
M11297Y	3	10	10	10	10	10	10	8	1
M11307H	3	7	7	7	6	7	9	6	2
M11354Q	3	7	6	8	9	7	6	3	5
M11358U	3	4	5	5	4	6	5	1	6
M11396A	3	8	9	9	9	5	10	3	2
M11433N	3	2	2	3	1	1	3	4	2
M11485A	3	6	7	6	8	7	7	1	6
M11494B	3	10	10	10	10	10	9	9	1
M11525R	3	9	10	8	8	7	8	3	1
M11530N	3	9	9	9	9	6	10	5	2
M11540Q	3	6	7	6	6	7	8	1	5
M11606R	3	6	7	6	5	7	8	2	6
M11636X	3	5	4	5	5	3	7	5	4
M11637Y	3	10	10	10	10	10	9	2	5
M11650V	3	3	3	3	2	3	4	6	2
M11668F	3	9	10	9	9	6	10	3	1
M11694H	3	8	7	7	7	8	9	7	2
M11698M	3	4	7	5	2	1	4	6	1
M11707V	3	1	2	2	2	1	2	7	1
M11719Z	3	1	1	1	1	1	1	6	1
M11720S	3	5	5	4	5	5	7	2	2
M11745B	3	6	6	4	6	8	8	4	1
M11826B	3	1	1	1	2	2	2	5	2
M11846F	3	6	5	6	6	5	7	9	4
M11870F	3	9	10	8	8	8	10	3	2
M11874K	3	3	3	3	2	3	5	8	3
M11890K	3	9	9	10	10	10	9	2	5
M11893N	3	5	5	4	5	5	7	2	2
M11905Z	3	9	10	10	9	9	10	1	5
M11931B	3	3	3	3	5	2	2	10	1
M11942E	3	7	7	6	7	8	9	3	3
M11988U	3	10	10	10	10	10	9	9	1
M11997V	3	3	4	3	1	8	4	4	1
M11998W	3	1	1	1	1	1	1	10	1
M12035G	3	9	8	9	8	10	10	4	2
M12075Q	3	1	1	2	2	2	2	5	1
M12078T	3	8	9	9	9	10	9	1	5
M12083Q	3	10	9	9	10	10	9	8	1
M12089W	3	6	4	8	5	8	8	1	5
M12212F	3	8	7	7	9	9	8	2	4
M12215J	3	8	10	9	8	8	9	2	3
M12225L	3	6	6	6	7	4	6	7	5
M12253Q	3	2	2	2	4	1	3	8	2
M12258V	3	2	2	3	2	2	3	8	1
M12273U	3	5	5	5	6	4	6	9	1
M12274V	3	8	9	8	10	8	9	1	6
M12279A	3	8	9	8	10	8	9	1	6
M12280T	3	7	6	7	5	9	7	5	2
M12308N	3	8	9	9	10	10	7	1	6
M12318Q	3	6	5	6	6	5	9	6	2
M12325P	3	9	10	9	10	10	10	1	3
M12351R	3	9	8	7	8	10	7	5	1
M12353T	3	4	2	4	6	7	8	5	4
M12370U	3	10	10	10	9	9	10	6	1
M12385B	3	6	6	5	6	5	9	5	6
M12404M	3	7	8	7	6	7	8	2	5
M12406P	3	4	3	4	6	3	8	2	2
M12413N	3	2	2	2	1	1	3	10	1
M12417S	3	8	9	10	10	9	4	1	5
M12432R	3	9	10	8	8	10	9	5	2
M12478F	3	10	10	9	9	10	10	5	3
M12491C	3	2	1	2	3	2	4	5	3
M12495G	3	8	9	8	10	8	9	1	6
M12527X	3	10	9	10	8	7	9	6	1
M12531T	3	5	5	4	6	5	7	4	1
M12592G	3	2	3	3	2	1	3	9	1
M12609Y	3	9	9	7	7	9	7	6	1
M12620T	3	10	10	10	9	10	10	7	1
M12632X	3	4	4	4	5	2	4	9	3
M12718C	3	9	9	8	6	9	9	6	1
M12740A	3	9	10	10	9	6	10	3	2
M12814B	3	1	1	1	2	2	4	9	2
M12843G	3	7	6	8	9	7	6	3	5
M12845J	3	4	4	3	4	3	6	5	3
M12846K	3	5	5	4	5	5	8	4	2
M12865N	3	1	1	1	1	2	3	6	1
M12877S	3	7	8	9	6	7	9	1	1
M12912C	3	9	7	8	7	9	7	9	5
M12944L	3	6	8	6	4	7	5	1	5
M12949R	3	4	5	4	5	4	7	1	5
M12968U	3	9	10	8	8	8	9	4	1
M12991T	3	4	3	4	3	4	6	7	4
M13034K	3	2	4	2	2	2	2	6	2
M13037N	3	8	9	8	10	8	9	1	6
M13039Q	3	1	1	1	1	2	1	10	1
M13050K	3	3	3	2	2	4	7	8	6
M13070P	3	4	2	4	6	7	8	5	4
M13080R	3	9	9	10	10	10	9	2	5
M13090T	3	6	7	6	7	6	6	3	2
M13124L	3	1	1	1	1	1	2	10	2
M13130J	3	8	8	6	6	5	9	8	1
M13180U	3	9	8	7	7	9	7	10	1
M13192Y	3	6	8	6	4	7	5	1	5
M13205L	3	9	10	10	9	6	10	3	2
M13207N	3	9	8	9	6	9	5	9	1
M13212K	3	3	3	2	2	3	5	7	2
M13213L	3	4	5	4	4	4	6	6	3
M13249Y	3	4	4	4	3	5	4	10	2
M13255W	3	6	7	8	9	6	6	1	6
M13275A	3	2	2	2	2	2	6	7	2
M13278D	3	6	7	5	4	3	6	5	3
M13314Q	3	8	7	7	7	8	9	7	2
M13331R	3	8	7	9	9	8	8	1	5
M13349B	3	2	2	2	2	2	2	9	2
M13379H	3	8	7	9	8	6	4	10	1
M13384E	3	5	4	4	7	7	6	9	4
M13386G	3	2	1	2	3	2	4	5	3
M13400M	3	9	10	10	8	9	7	3	2
M13432V	3	8	7	6	9	8	9	5	3
M13438B	3	9	10	10	10	7	10	2	2
M13480D	3	1	1	1	1	1	2	9	1
M13507X	3	3	3	2	3	6	8	5	2
M13525Z	3	5	8	6	3	6	7	1	6
M13548G	3	7	6	7	8	5	8	4	1
M13569M	3	6	7	6	7	6	6	3	2
M13581H	3	8	8	8	9	10	9	1	5
M13592L	3	8	8	9	7	5	8	6	3
M13602V	3	8	8	10	9	10	7	1	5
M13652F	3	4	3	4	3	6	3	8	2
M13658M	3	1	1	1	2	2	2	5	2
M13662H	3	2	3	2	2	3	1	8	1
M13669Q	3	2	2	2	2	1	2	5	1
M13673L	3	8	8	8	8	5	8	3	2
M13715D	3	9	8	7	8	9	9	9	2
M13759R	3	5	6	5	3	5	4	9	3
M13774Q	3	2	2	3	2	2	5	2	3
M13775R	3	6	5	6	7	7	8	2	6
M13785T	3	1	1	1	1	1	3	7	2
M13812D	3	6	7	5	6	4	6	4	1
M13856R	3	9	9	8	7	8	8	7	2
M13862P	3	10	10	10	10	10	9	9	1
M13893W	3	9	9	10	9	8	8	2	5
M13894X	3	1	1	2	2	1	1	8	1
M13897A	3	10	9	10	9	10	10	8	1
M13913H	3	10	10	10	10	10	10	6	1
M13956U	3	9	7	8	10	9	9	4	2
M13963T	3	10	9	9	8	9	6	10	1
M13995B	3	5	5	5	4	3	3	8	5
M14006K	3	2	2	4	2	1	4	6	3
M14009N	3	3	3	2	3	2	5	8	3
M14028R	3	8	7	7	8	7	9	8	5
M14031L	3	8	10	10	10	9	4	1	6
M14032M	3	10	10	10	10	10	9	7	1
M14035Q	3	3	4	3	4	2	4	1	3
M14039U	3	8	9	8	8	9	9	2	5
M14047U	3	4	3	5	3	4	3	2	1
M14060R	3	10	10	10	9	10	10	4	3
M14103K	3	8	8	9	7	5	8	6	3
M14108Q	3	6	6	5	5	6	7	6	3
M14118S	3	1	1	2	2	2	4	5	2
M14146W	3	4	4	5	5	2	3	5	5
M14172Y	3	7	8	7	9	9	8	1	2
M14183B	3	6	5	6	6	5	2	7	3
M14186E	3	2	2	2	2	2	6	4	3
M14196G	3	7	6	6	6	7	6	9	5
M14218V	3	7	8	9	7	7	7	1	5
M14243W	3	4	5	4	5	8	8	1	6
M14331V	3	10	10	9	9	8	10	4	2
M14358G	3	9	7	8	9	9	9	7	3
M14378L	3	2	2	1	2	2	2	7	1
M14401S	3	10	9	8	7	9	8	9	1
M14423Y	3	1	2	2	2	1	2	7	1
M14430X	3	10	9	10	10	10	10	6	2
M14471G	3	2	3	1	2	3	3	9	2
M14513Z	3	6	7	5	4	3	6	5	3
M14531B	3	9	8	8	9	8	9	10	5
M14548L	3	9	9	8	7	8	8	6	1
M14561H	3	5	5	4	4	7	5	7	5
M14579T	3	3	2	3	6	5	7	2	4
M14593R	3	9	10	9	10	10	9	2	1
M14595T	3	10	10	10	9	9	10	4	2
M14604B	3	1	1	1	2	2	1	4	1
M14611A	3	8	7	8	8	6	9	4	6
M14616F	3	1	1	1	1	1	1	7	1
M14644K	3	5	5	4	5	5	8	4	2
M14715H	3	10	9	9	9	10	5	8	1
M14717K	3	4	6	3	4	4	3	6	1
M14747R	3	3	3	2	3	2	6	6	2
M14749T	3	10	10	9	10	9	9	9	2
M14751M	3	6	7	6	5	4	7	4	4
M14771R	3	7	6	5	9	9	7	4	1
M14813J	3	1	1	1	1	1	4	4	6
M14830K	3	9	9	10	10	10	8	1	6
M14835Q	3	4	4	3	3	4	4	7	1
M14873W	3	8	8	7	9	10	9	2	2
M14892Z	3	8	8	8	9	10	9	1	5
M14914N	3	4	4	4	4	3	1	7	1
M14943T	3	4	3	4	3	6	3	8	2
M14960U	3	3	2	4	4	4	4	8	2
M14968C	3	10	10	10	9	9	10	6	1
M14999K	3	4	4	4	5	3	5	5	3
M15012M	3	9	10	9	10	10	10	1	3
M15101M	3	4	4	4	3	4	5	7	2
M15115T	3	1	1	1	1	1	1	9	1
M15118W	3	3	3	3	4	3	3	8	1
M15144Y	3	9	10	8	8	8	10	3	2
M15176G	3	10	10	10	10	10	10	4	1
M15179K	3	6	7	5	6	5	3	5	1
M15241Y	3	6	4	5	5	7	7	8	4
M15300S	3	10	9	9	7	10	9	7	1
M15324A	3	4	4	4	5	4	5	2	1
M15358L	3	5	5	5	7	4	4	5	6
M15363H	3	8	8	7	9	10	8	2	5
M15415C	3	7	6	8	7	5	8	5	1
M15501Z	3	2	3	2	2	3	3	3	5
M15632K	3	8	8	9	7	5	8	6	3
M15675W	3	8	7	7	7	8	9	8	2
M15721K	3	8	7	7	7	8	8	10	6
M15750Q	3	7	7	6	5	6	8	7	2
M15776A	3	8	10	5	9	9	10	3	2
M15820M	3	10	10	9	8	10	10	8	2
M15822P	3	4	5	3	5	2	5	1	5
M15861W	3	5	5	5	5	4	4	9	5
M15870X	3	10	10	10	10	7	10	5	2
M15907T	3	1	2	1	1	1	3	9	3
M15935X	3	2	1	3	2	1	5	2	2
M16001N	3	4	3	3	5	4	4	9	1
M16029A	3	9	10	8	9	9	10	3	2
M16036Z	3	9	8	8	9	8	8	4	4
M16041W	3	9	9	9	10	10	9	2	3
M16055C	3	10	10	10	10	10	9	9	1
M16086K	3	5	4	4	6	3	6	10	3
M16091G	3	4	4	4	5	3	5	5	3
M16092H	3	8	7	9	8	9	8	1	5
M16107X	3	7	7	7	9	6	10	2	6
M16127B	3	9	7	8	7	10	7	8	5
M16131X	3	6	5	6	7	7	7	5	5
M16145D	3	4	4	5	7	4	6	1	2
M16156G	3	3	3	3	4	2	3	3	5
M16162E	3	1	1	1	1	1	2	9	1
M16169M	3	7	8	6	8	8	7	1	5
M16183K	3	8	7	8	8	7	6	3	6
M16254H	3	6	6	6	8	9	3	1	5
M16260F	3	9	10	9	10	10	10	2	2
M16275N	3	10	10	10	10	10	7	5	1
M16298V	3	9	10	9	10	10	10	2	2
M16305B	3	10	10	9	10	10	10	9	1
M16336J	3	10	10	9	10	10	10	3	2
M16354L	3	4	4	3	4	3	6	5	3
M16504G	3	8	8	8	9	10	9	1	5
M16523K	3	2	2	1	2	2	4	5	1
M16533M	3	6	6	6	5	5	2	5	1
M16555T	3	3	3	2	2	3	3	6	1
M16591X	3	7	6	6	5	9	5	9	2
M16602H	3	3	2	4	3	3	2	10	1
M16616P	3	7	7	8	7	6	7	2	3
M16632P	3	10	10	10	10	10	10	4	1
M16636T	3	4	4	4	5	2	3	6	2
M16651S	3	3	4	3	4	2	4	1	3
M16658Z	3	2	2	3	2	2	3	3	1
M16665Y	3	10	9	10	10	10	9	5	4
M16669C	3	10	10	10	9	10	10	5	1
M16708S	3	5	8	6	3	6	7	1	6
M16731R	3	6	5	4	3	8	8	10	2
M16736W	3	10	10	10	9	10	9	6	2
M16748A	3	5	6	4	4	4	6	8	1
M16755Z	3	2	2	2	1	2	2	8	2
M16796J	3	5	4	5	7	5	9	3	2
M16840V	3	6	5	7	8	6	7	6	6
M16881E	3	1	1	1	1	2	2	8	2
M16887L	3	9	9	10	9	8	8	3	1
M16913V	3	4	7	5	2	1	4	6	1
M16953D	3	9	9	10	10	10	9	2	5
M16988Q	3	3	4	2	2	2	2	7	1
M17018B	3	5	5	5	6	4	6	9	1
M17034B	3	6	5	5	9	8	6	6	3
M17040Z	3	8	9	9	9	5	10	3	2
M17052D	3	3	4	2	4	3	4	9	1
M17053E	3	9	10	10	10	10	10	2	3
M17067L	3	9	8	8	8	8	9	6	5
M17089S	3	8	8	7	9	10	9	2	2
M17102W	3	1	1	1	1	1	1	6	1
M17117D	3	1	1	1	1	1	4	7	6
M17162J	3	9	7	9	9	10	9	7	1
M17171K	3	4	4	4	5	3	5	5	3
M17186S	3	5	5	5	4	8	6	5	4
M17193R	3	1	1	2	2	1	5	3	2
M17206D	3	5	5	4	5	5	7	7	3
M17216F	3	9	9	7	8	10	10	4	2
M17247N	3	8	7	7	7	6	8	8	4
M17249Q	3	6	6	5	5	6	8	5	2
M17304E	3	10	10	10	8	10	10	2	2
M17310C	3	5	5	5	4	3	3	8	5
M17313F	3	2	2	1	2	2	2	10	1
M17336N	3	1	1	1	2	2	2	4	1
M17348S	3	7	6	7	8	7	7	4	3
M17353P	3	3	3	3	4	4	5	4	5
M17413J	3	9	10	10	10	7	10	2	2
M17423L	3	3	3	2	2	6	6	9	2
M17484Z	3	5	6	3	3	5	5	8	5
M17496D	3	3	2	3	3	3	5	7	2
M17504L	3	10	8	10	9	10	10	9	1
M17533R	3	3	2	3	6	5	7	2	4
M17547X	3	8	7	9	8	6	4	10	1
M17568C	3	2	1	3	4	3	3	7	4
M17590A	3	9	9	10	9	7	10	2	2
M17664B	3	4	4	4	5	2	4	9	3
M17687J	3	1	1	2	1	1	3	5	2
M17695J	3	4	4	5	5	3	3	6	2
M17705T	3	6	7	7	9	8	4	1	6
M17777K	3	8	9	10	7	8	5	1	5
M17781F	3	4	4	3	4	3	7	8	3
M17810T	3	4	3	4	3	6	1	10	1
M17836D	3	9	9	9	10	9	10	1	3
M17839G	3	8	9	7	8	8	10	2	2
M17856H	3	9	9	9	10	9	10	1	3
M17874K	3	8	9	8	10	8	9	1	6
M17905Z	3	3	3	3	6	2	5	8	5
M17912Y	3	5	6	5	5	5	5	5	2
M17913Z	3	9	9	9	10	10	9	2	3
M17924C	3	10	10	10	9	10	10	4	3
M17925D	3	9	9	10	10	10	9	2	5
M17930A	3	6	7	5	7	8	6	2	2
M17944G	3	5	5	5	3	6	6	6	1
M17975P	3	5	4	4	7	7	6	9	4
M18010X	3	9	10	9	10	10	10	1	3
M18042F	3	6	5	7	8	6	7	6	6
M18054K	3	1	1	1	1	1	1	7	1
M18092R	3	10	10	10	8	10	10	5	3
M18098X	3	7	6	7	6	6	6	8	6
M18127K	3	5	5	4	4	7	5	7	5
M18129M	3	6	5	6	5	7	9	5	2
M18144L	3	6	6	5	5	6	7	6	3
M18154N	3	2	2	3	2	3	5	1	5
M18157R	3	10	10	9	8	10	10	7	1
M18161M	3	1	1	2	1	1	1	5	1
M18171P	3	1	1	1	1	1	2	8	1
