MCSID	FACTRY00	FIWIMDSC	FIWIMDIN	FIWIMDEM	FIWIMDHD	FIWIMDES	FIWIMDHO	FIWIMDCR	FIWIMDLE	FIWRURUR
M11138J	2	6	9	8	4	6	2	6	1	6
M11147K	2	3	3	2	5	2	4	6	8	5
M11184Q	2	8	8	8	9	8	2	6	5	6
M11185R	2	4	5	6	2	2	5	3	10	4
M11190N	2	9	9	9	6	8	2	9	10	4
M11201Y	2	8	7	9	6	5	4	4	9	4
M11206D	2	2	3	1	3	2	6	7	4	4
M11213C	2	3	3	3	6	2	4	7	8	4
M11231E	2	5	5	3	5	5	9	5	2	4
M11233G	2	3	3	4	6	2	6	1	4	4
M11234H	2	1	1	1	1	1	9	8	5	4
M11243J	2	10	10	9	8	9	6	10	3	4
M11244K	2	3	3	2	4	6	6	1	8	4
M11332J	2	7	6	5	6	8	9	9	7	4
M11337P	2	4	4	4	4	3	5	6	5	4
M11348S	2	10	10	9	8	9	5	10	8	4
M11350L	2	4	4	4	8	7	1	3	5	3
M11359V	2	5	4	6	7	4	5	2	9	4
M11374U	2	1	1	2	6	1	9	5	9	4
M11379Z	2	7	8	5	8	10	1	9	7	4
M11385X	2	3	2	3	4	1	9	5	5	4
M11392W	2	3	4	2	4	4	4	6	9	6
M11417N	2	7	6	8	6	7	4	6	2	4
M11434P	2	6	7	7	3	5	2	6	9	6
M11447U	2	2	1	2	5	1	9	4	2	4
M11449W	2	10	9	9	10	10	2	9	9	5
M11461S	2	4	4	3	4	4	3	8	7	5
M11463U	2	8	7	9	4	6	9	8	7	4
M11472V	2	4	4	3	3	5	5	4	8	4
M11478B	2	1	1	1	2	4	3	2	1	4
M11480V	2	10	10	10	8	9	2	9	8	6
M11484Z	2	4	4	6	3	2	7	3	4	5
M11487C	2	10	8	9	10	9	7	9	7	4
M11500G	2	1	1	1	1	1	4	3	9	4
M11502J	2	10	9	9	10	10	6	10	3	4
M11510J	2	10	10	10	9	9	5	10	9	4
M11513M	2	5	6	3	4	7	7	4	4	4
M11518S	2	6	9	8	4	6	2	6	1	6
M11521M	2	8	10	9	3	10	2	10	6	5
M11532Q	2	3	2	4	3	2	9	5	3	4
M11544U	2	9	7	5	8	9	6	10	7	4
M11546W	2	6	8	7	3	4	5	8	2	4
M11555X	2	1	1	1	1	1	9	4	2	4
M11560U	2	3	3	5	2	4	9	1	1	4
M11586E	2	9	8	9	9	9	4	3	4	6
M11590A	2	1	1	2	7	1	9	3	9	4
M11644X	2	9	7	6	8	10	7	7	8	4
M11652X	2	1	2	2	3	1	8	2	5	4
M11663A	2	4	3	5	7	5	3	2	4	4
M11683E	2	5	5	5	8	4	4	3	1	4
M11689L	2	7	6	5	6	8	9	9	7	4
M11711R	2	9	8	8	9	8	4	8	8	4
M11734Y	2	1	1	3	3	1	9	1	5	4
M11765F	2	2	1	2	6	2	6	3	5	4
M11777K	2	9	8	8	10	6	7	7	2	4
M11800R	2	4	3	5	4	5	4	2	10	4
M11825A	2	6	6	3	7	6	2	7	7	6
M11830X	2	3	2	4	2	4	7	8	5	4
M11834B	2	2	2	2	4	1	9	2	1	4
M11895Q	2	10	9	9	7	10	9	9	3	5
M11904Y	2	3	2	3	5	3	9	3	2	4
M11919F	2	10	10	10	10	10	4	10	8	4
M11920Y	2	3	3	4	6	1	9	1	9	4
M11923B	2	4	3	5	5	2	9	4	3	4
M11944G	2	5	5	9	9	3	4	2	1	4
M11961H	2	2	2	3	3	1	8	3	10	4
M11965M	2	5	4	5	9	6	4	3	6	4
M11973M	2	4	4	4	5	2	2	3	5	6
M11991P	2	9	7	9	6	8	9	7	4	4
M11995T	2	1	1	1	1	1	6	4	5	4
M12007C	2	4	4	5	7	4	1	1	8	6
M12011Y	2	7	7	9	4	9	3	3	7	4
M12036H	2	9	7	8	7	7	9	8	3	4
M12042F	2	10	10	10	10	9	2	10	6	4
M12054K	2	5	3	5	8	5	9	4	4	4
M12055L	2	8	7	9	6	4	9	7	2	4
M12058P	2	3	3	2	4	6	6	1	8	4
M12077S	2	3	3	5	9	1	9	3	1	4
M12110A	2	6	4	5	8	5	8	8	7	4
M12168U	2	5	3	5	8	5	7	4	3	4
M12173R	2	1	1	1	1	1	4	3	9	4
M12185V	2	8	6	8	6	6	9	6	3	4
M12188Y	2	10	10	10	7	10	7	10	8	4
M12191T	2	1	1	1	2	1	9	5	10	4
M12219N	2	10	10	10	8	9	2	9	8	6
M12281U	2	3	3	3	3	3	9	4	2	4
M12298D	2	3	2	3	5	4	4	7	8	6
M12320J	2	3	3	3	3	5	2	8	3	4
M12323M	2	10	10	10	7	6	6	7	5	4
M12329T	2	10	10	10	10	10	2	10	7	6
M12332N	2	2	2	3	3	1	4	3	4	4
M12333P	2	9	10	10	10	9	1	7	3	6
M12336S	2	10	10	10	9	9	5	10	9	4
M12338U	2	3	3	3	2	5	4	5	7	4
M12357X	2	6	7	8	5	10	1	8	10	6
M12367Z	2	7	7	7	5	5	9	9	1	4
M12388E	2	2	1	3	2	1	8	8	5	4
M12394C	2	9	8	8	10	6	7	7	2	4
M12454X	2	7	7	6	6	5	7	6	8	4
M12485E	2	1	1	1	4	1	7	2	2	4
M12486F	2	2	2	5	4	1	4	7	1	4
M12487G	2	9	7	7	8	6	9	7	8	4
M12507T	2	10	10	10	10	10	4	10	6	5
M12548C	2	1	1	1	1	1	4	3	9	4
M12549D	2	8	6	7	7	9	4	5	9	4
M12564C	2	4	5	5	4	3	3	1	3	5
M12595K	2	2	2	1	3	1	6	7	4	4
M12600P	2	7	6	6	7	4	9	3	9	4
M12603S	2	9	7	8	7	7	9	8	3	4
M12615W	2	3	3	3	7	5	3	3	5	4
M12668K	2	9	7	7	9	6	9	6	4	4
M12672F	2	5	3	5	4	4	9	3	7	4
M12704W	2	10	10	10	10	10	6	10	7	4
M12744E	2	5	4	6	8	6	2	1	7	4
M12765K	2	9	9	9	6	8	2	9	10	4
M12773K	2	8	7	9	6	4	9	7	2	4
M12821A	2	9	8	9	10	9	2	5	7	3
M12832D	2	3	3	3	3	2	9	9	2	4
M12835G	2	6	5	7	7	5	9	7	1	4
M12857N	2	6	5	7	5	2	9	9	8	4
M12860H	2	4	4	4	5	2	2	3	5	6
M12869S	2	2	3	2	1	3	9	4	2	4
M12884R	2	2	2	4	3	1	9	1	6	4
M12885S	2	4	3	5	4	5	5	2	7	4
M12890P	2	7	9	10	9	9	1	9	2	6
M12905D	2	6	9	8	4	6	2	6	1	6
M12907F	2	10	10	10	10	10	2	10	8	4
M12933H	2	10	10	10	10	10	3	8	5	4
M12957R	2	2	1	2	5	1	9	4	2	4
M12975T	2	1	2	1	2	2	4	7	5	4
M12992U	2	2	3	1	3	4	5	3	6	4
M12999B	2	9	9	10	9	9	2	9	10	6
M13029N	2	10	10	9	10	10	8	10	3	4
M13038P	2	9	8	6	5	8	9	9	10	4
M13060M	2	2	1	3	3	2	9	5	3	4
M13064R	2	8	7	9	6	5	4	4	9	4
M13073S	2	4	3	4	3	3	9	6	3	4
M13092V	2	5	4	5	7	3	5	4	10	5
M13108L	2	2	2	2	4	2	4	4	6	5
M13115K	2	10	10	10	9	10	6	9	9	4
M13132L	2	6	6	5	5	4	5	8	7	4
M13145R	2	6	6	3	6	5	6	7	6	4
M13155T	2	7	7	7	4	6	6	7	6	4
M13194A	2	4	5	4	2	5	8	5	5	4
M13200F	2	1	2	1	2	2	4	7	5	4
M13218R	2	9	9	10	10	9	2	7	6	3
M13221L	2	7	10	9	10	8	1	6	7	6
M13235S	2	2	2	3	2	1	8	9	7	4
M13260T	2	10	9	10	8	10	4	9	4	4
M13265Y	2	10	10	10	10	10	3	8	5	4
M13269C	2	4	2	3	7	8	8	1	4	4
M13294D	2	7	7	8	6	9	2	3	8	6
M13310L	2	8	6	8	6	6	9	6	3	4
M13319V	2	2	2	3	3	1	4	3	4	4
M13321P	2	9	7	7	8	10	8	5	10	4
M13343V	2	2	2	2	2	2	8	4	4	4
M13369F	2	2	2	2	1	1	6	9	10	6
M13389K	2	7	7	8	9	7	2	3	9	6
M13418X	2	5	3	7	5	2	9	8	5	1
M13426X	2	3	3	3	8	2	5	7	3	4
M13428Z	2	4	5	3	5	6	2	8	9	6
M13444Z	2	6	6	5	9	6	3	3	5	2
M13457E	2	3	3	4	3	3	4	1	5	5
M13508Y	2	5	4	6	4	3	9	4	5	4
M13530W	2	10	10	10	10	10	3	10	5	5
M13540Y	2	10	10	10	9	10	3	10	10	5
M13542A	2	4	3	3	9	3	9	4	1	4
M13547F	2	1	1	1	1	1	4	4	7	4
M13560C	2	10	10	9	10	8	5	10	10	4
M13570E	2	2	2	2	3	2	3	5	4	5
M13635E	2	1	1	1	1	1	6	4	5	4
M13670H	2	3	2	4	2	2	3	6	3	1
M13703Z	2	5	6	5	2	3	8	8	6	4
M13733F	2	2	1	2	5	1	9	4	2	4
M13757P	2	10	10	10	9	10	6	9	9	4
M13762L	2	10	8	9	10	10	6	10	2	5
M13770L	2	2	2	1	5	3	4	5	2	4
M13795V	2	6	6	4	6	7	2	5	8	6
M13797X	2	9	7	8	7	7	9	8	3	4
M13806F	2	4	3	5	7	5	3	2	4	4
M13829N	2	2	1	3	5	2	3	2	7	4
M13836M	2	5	4	4	6	3	7	9	7	4
M13878X	2	3	2	4	5	4	4	5	1	5
M13891U	2	2	3	2	1	2	5	4	5	4
M13899C	2	9	9	9	10	9	2	5	7	6
M13903F	2	4	3	4	3	4	5	6	8	5
M13912G	2	3	2	3	4	2	9	2	6	4
M13931K	2	3	5	5	1	4	3	6	3	4
M13941M	2	6	7	7	3	5	2	6	9	6
M13952Q	2	1	1	1	1	1	4	3	9	4
M13962S	2	7	6	4	8	7	9	4	6	4
M13965V	2	6	7	5	7	5	3	7	1	5
M13974W	2	7	6	4	8	7	9	4	6	4
M13989D	2	10	10	10	9	10	7	9	8	4
M14020H	2	7	7	6	3	9	8	6	7	4
M14030K	2	10	10	8	10	10	3	10	4	4
M14037S	2	7	8	9	3	8	3	8	8	5
M14053S	2	9	8	9	10	9	2	5	7	3
M14057W	2	5	4	5	9	6	4	3	6	4
M14090X	2	10	10	9	10	8	9	10	7	4
M14092Z	2	1	1	1	1	1	9	8	5	4
M14105M	2	5	5	6	4	5	2	5	7	5
M14119T	2	2	2	1	4	1	5	8	6	4
M14124Q	2	2	2	1	5	5	7	4	1	4
M14134S	2	4	3	3	9	4	6	2	3	4
M14139X	2	5	6	4	3	5	4	7	4	5
M14140Q	2	3	3	4	3	3	4	1	5	5
M14166A	2	5	6	6	10	6	1	8	1	5
M14230R	2	4	4	5	7	4	1	1	8	6
M14266D	2	10	10	10	10	10	6	10	7	4
M14309X	2	8	7	7	10	5	7	7	5	4
M14325X	2	10	9	10	10	10	7	10	4	4
M14396N	2	9	9	9	6	8	2	9	10	4
M14397P	2	10	9	9	8	9	3	8	10	4
M14408Z	2	3	3	3	8	2	5	7	3	4
M14420V	2	9	10	10	9	10	2	9	2	4
M14422X	2	7	7	7	9	8	1	4	10	3
M14443C	2	3	2	3	4	2	9	2	6	4
M14484M	2	3	3	2	2	2	6	7	9	4
M14521Z	2	9	7	7	9	6	9	6	4	4
M14524C	2	6	6	5	9	6	3	3	5	2
M14525D	2	3	3	3	4	4	6	5	2	4
M14528G	2	4	4	3	5	3	8	8	4	4
M14583P	2	8	7	6	9	6	5	6	10	4
M14585R	2	6	6	3	6	5	6	7	6	4
M14588U	2	3	3	6	2	3	9	1	3	4
M14591P	2	4	5	4	3	2	6	7	7	4
M14603A	2	7	6	4	8	7	9	4	6	4
M14608F	2	8	6	8	9	9	9	5	2	5
M14614D	2	8	7	9	6	4	9	7	2	4
M14625G	2	10	10	10	7	10	3	10	5	5
M14630D	2	3	4	5	1	6	9	5	2	4
M14637L	2	2	2	3	3	1	4	3	4	4
M14638M	2	8	8	7	6	7	3	9	6	4
M14641G	2	8	6	8	6	6	9	6	3	4
M14672P	2	9	9	10	10	9	1	8	8	6
M14696X	2	10	10	10	8	8	2	10	10	4
M14740J	2	10	9	8	10	10	7	10	8	5
M14762Q	2	7	7	6	6	5	7	6	8	4
M14772S	2	1	1	1	1	1	4	3	9	4
M14774U	2	8	8	10	9	8	2	4	3	6
M14776W	2	8	7	8	9	7	1	8	9	6
M14784W	2	5	4	6	9	2	9	1	6	4
M14796A	2	5	5	6	3	6	3	3	8	4
M14800D	2	3	3	3	6	2	4	7	8	4
M14808M	2	10	10	10	10	9	1	9	8	5
M14821J	2	1	1	1	1	1	9	8	5	4
M14854T	2	6	5	7	6	6	3	3	4	4
M14859Y	2	3	3	3	1	3	8	5	8	4
M14865W	2	4	4	6	3	2	7	3	4	5
M14866X	2	9	7	6	8	10	7	7	8	4
M14872V	2	3	3	3	3	2	9	9	2	4
M14874X	2	9	7	7	9	6	9	6	4	4
M14897E	2	4	4	4	5	4	9	3	3	4
M14905M	2	8	5	7	8	7	7	5	10	4
M14910J	2	8	9	9	6	6	4	5	3	4
M14921M	2	2	1	2	4	3	6	7	3	4
M14929V	2	7	10	9	10	8	1	6	7	6
M14939X	2	3	2	2	5	2	9	8	5	4
M14945V	2	2	2	2	5	3	4	2	4	4
M15017S	2	6	5	5	6	6	3	4	10	4
M15024R	2	6	4	4	8	6	9	6	5	4
M15033S	2	10	10	10	7	10	3	10	5	5
M15056Z	2	2	2	2	5	3	4	2	4	4
M15057A	2	10	10	9	7	10	5	10	7	4
M15060V	2	7	7	8	6	9	2	3	8	6
M15064Z	2	5	5	3	4	6	6	7	9	4
M15098K	2	8	6	7	7	9	4	5	9	4
M15106S	2	2	2	5	3	2	4	3	1	4
M15116U	2	10	9	10	10	10	7	10	7	4
M15156C	2	3	2	4	2	2	9	5	2	4
M15158E	2	1	2	2	3	1	8	2	5	4
M15166E	2	9	9	10	9	8	1	6	9	6
M15198N	2	2	2	5	4	1	4	7	1	4
M15202R	2	1	2	2	3	1	8	2	5	4
M15207W	2	2	2	2	2	2	8	4	4	4
M15238D	2	3	2	4	5	2	9	4	5	4
M15265G	2	9	10	9	7	10	3	10	3	6
M15286M	2	3	4	2	4	4	4	6	9	6
M15336E	2	5	4	6	7	4	5	2	9	4
M15343D	2	8	7	8	5	9	5	5	5	4
M15349K	2	9	6	9	7	8	7	8	8	4
M15383M	2	10	10	9	7	10	5	10	7	4
M15392N	2	8	8	5	7	7	5	10	4	4
M15396S	2	9	7	8	7	7	9	8	3	4
M15399V	2	1	1	1	1	1	6	4	5	4
M15404Z	2	7	7	7	7	9	9	1	1	4
M15414B	2	8	9	8	5	10	3	10	2	4
M15442F	2	4	4	3	3	5	9	4	1	4
M15446K	2	9	7	7	9	6	9	6	4	4
M15458P	2	2	2	2	5	3	4	2	4	4
M15512C	2	10	10	10	9	10	6	10	10	5
M15517H	2	6	6	6	3	5	6	4	8	4
M15532G	2	10	9	10	8	9	5	6	8	6
M15533H	2	6	4	4	8	6	9	6	5	4
M15540G	2	10	10	10	5	9	5	8	5	5
M15552L	2	1	1	2	3	1	6	4	1	4
M15554N	2	4	4	6	3	2	7	3	4	5
M15577V	2	4	2	3	4	4	9	3	5	4
M15587X	2	9	9	8	9	8	3	6	8	4
M15608K	2	8	9	9	9	9	1	4	4	6
M15618M	2	3	3	3	6	2	4	7	8	4
M15680T	2	6	8	10	2	3	8	3	6	4
M15683W	2	1	1	1	2	1	7	8	7	4
M15702G	2	3	2	3	4	2	5	5	9	5
M15717P	2	5	6	4	3	4	5	9	6	4
M15726Q	2	7	5	7	6	5	9	4	4	5
M15767Z	2	10	10	9	10	10	4	10	5	5
M15791Z	2	6	9	8	4	6	2	6	1	6
M15807Q	2	2	3	2	2	4	7	3	5	4
M15821N	2	2	1	2	4	4	9	3	2	4
M15886F	2	10	10	10	10	10	6	10	4	4
M15894F	2	7	5	7	10	4	3	6	5	5
M15897J	2	3	2	4	3	2	9	5	3	4
M15915T	2	8	9	9	9	8	1	8	5	6
M15929Z	2	2	2	1	6	3	5	2	4	4
M15930S	2	7	8	7	8	7	1	7	8	6
M15932U	2	6	5	6	6	5	7	9	1	4
M15938A	2	10	9	7	7	9	8	9	10	4
M15951X	2	10	9	9	9	9	5	9	7	4
M15980C	2	9	7	7	8	6	9	7	8	4
M15995K	2	9	8	9	10	9	2	5	7	3
M16000M	2	8	7	6	7	6	9	3	8	4
M16004R	2	2	2	4	3	1	9	1	6	4
M16009W	2	2	2	5	3	2	4	3	1	4
M16010P	2	4	3	5	4	5	4	2	10	4
M16024V	2	7	5	7	7	4	6	4	10	4
M16051Y	2	9	9	10	10	9	1	6	9	6
M16054B	2	2	2	2	2	2	3	6	8	4
M16063C	2	7	7	6	6	5	7	6	8	4
M16064D	2	4	3	4	4	4	9	7	6	4
M16084H	2	4	4	4	5	4	9	3	3	4
M16121V	2	10	9	10	9	10	9	7	6	4
M16129D	2	4	3	5	5	2	9	4	3	4
M16141Z	2	8	7	9	10	5	4	7	2	4
M16148G	2	3	3	3	5	3	9	2	1	4
M16184L	2	2	1	3	2	1	8	8	5	4
M16211W	2	1	2	1	2	2	4	7	5	4
M16223A	2	6	9	5	4	7	8	9	1	4
M16302Y	2	3	2	2	9	4	5	1	4	2
M16346L	2	9	9	10	10	9	2	7	6	3
M16366Q	2	8	7	6	9	6	5	6	10	4
M16368S	2	9	8	10	7	10	3	10	8	4
M16386U	2	3	2	2	8	1	7	5	4	4
M16435L	2	2	2	2	2	2	3	6	8	4
M16441J	2	4	4	3	5	3	9	1	1	4
M16444M	2	9	9	10	10	9	2	9	6	6
