MCSID	FACTRY00	FIWIMDSC	FIWIMDIN	FIWIMDEM	FIWIMDHD	FIWIMDES	FIWIMDHO	FIWIMDCR	FIWIMDLE	FIWRURUR
M25296U	2	7	7	6	6	5	7	6	8	4
M25326H	2	8	7	9	7	7	2	7	6	6
M25341G	2	10	10	9	8	9	6	10	3	4
M25365Q	2	6	7	7	3	5	2	6	9	6
M25373Q	2	6	8	7	3	4	5	8	2	4
M25400A	2	7	6	8	7	5	3	4	4	5
M25411D	2	3	2	3	3	3	9	3	1	4
M25416J	2	10	10	10	9	10	4	10	6	4
M25421F	2	5	4	5	9	6	4	3	6	4
M25426L	2	10	10	10	6	10	4	10	7	5
M25430G	2	3	5	2	2	3	3	8	8	6
M25452N	2	7	7	8	7	6	3	2	10	4
M25473T	2	5	5	5	4	8	3	6	6	5
M25511G	2	4	7	4	1	5	8	10	4	4
M25516M	2	2	3	2	1	2	9	2	8	4
M25549W	2	5	5	5	8	4	4	3	1	4
M25602J	2	6	6	3	6	5	6	7	6	4
M25614N	2	9	9	8	9	8	3	6	8	4
M25624Q	2	4	4	5	3	3	6	3	7	4
M25634S	2	8	8	8	9	8	2	7	4	4
M25683B	2	4	4	3	5	3	8	8	4	4
M25689H	2	10	10	10	10	10	4	10	6	5
M25695F	2	7	7	8	9	7	2	3	9	6
M25705Q	2	3	4	4	5	4	3	2	2	4
M25710M	2	3	3	2	5	2	4	6	8	5
M25722R	2	7	7	7	5	4	9	9	2	4
M25723S	2	8	7	6	7	6	6	4	9	1
M25724T	2	9	10	9	7	10	1	9	5	6
M25770Z	2	4	3	4	4	6	4	3	10	5
M25774D	2	2	2	3	2	1	9	2	4	4
M25796K	2	9	10	9	7	4	5	6	10	4
M25800N	2	8	7	8	9	7	3	6	3	5
M25808W	2	10	10	10	10	10	9	10	7	4
M25816W	2	1	1	1	1	1	4	3	9	4
M25826Y	2	2	1	3	3	2	9	5	3	4
M25830U	2	9	8	9	10	9	2	5	7	3
M25839D	2	2	2	2	4	2	4	2	10	1
M25856E	2	2	2	1	7	1	9	3	7	4
M25859H	2	3	3	2	5	2	4	6	8	5
M25867H	2	9	9	8	9	8	3	6	8	4
M25880E	2	7	6	7	9	7	2	4	6	6
M25899R	2	2	1	2	3	2	6	2	10	4
M25905W	2	6	4	4	7	7	8	6	6	4
M25909A	2	8	7	9	10	5	4	7	2	4
M25914X	2	9	8	9	9	6	3	8	5	6
M25930X	2	5	4	3	7	5	5	6	4	5
M25946F	2	4	4	3	4	4	3	8	7	5
M25952D	2	8	7	9	4	6	9	8	7	4
M25955G	2	10	10	10	5	9	5	8	5	5
M25969N	2	2	1	3	5	2	3	2	7	4
M25981J	2	10	10	10	10	10	6	10	8	4
M25988R	2	2	2	2	3	3	5	2	6	4
M26014Y	2	1	1	2	1	2	7	5	10	4
M26078Q	2	1	1	1	1	1	9	8	5	4
M26089T	2	4	3	5	7	5	3	2	4	4
M26104Z	2	6	9	6	5	10	2	6	1	4
M26116D	2	7	7	8	6	9	2	3	8	6
M26137J	2	9	6	9	7	8	7	8	8	4
M26138K	2	5	5	3	4	5	4	4	9	5
M26160H	2	2	2	3	3	1	4	3	4	4
M26171L	2	1	1	1	1	1	4	3	9	4
M26175Q	2	1	1	1	2	1	8	7	7	4
M26184R	2	8	9	9	6	6	4	5	3	4
M26199Y	2	6	8	8	1	6	9	10	7	4
M26218J	2	2	2	1	6	3	5	2	4	4
M26239P	2	8	7	8	6	6	6	6	10	4
M26244L	2	7	6	6	9	4	6	9	10	4
M26263P	2	5	5	5	5	4	9	5	1	4
M26265R	2	2	2	4	5	2	3	4	2	4
M26272Q	2	7	7	7	9	8	1	4	10	3
M26276U	2	8	7	8	9	8	3	3	7	5
M26282S	2	6	5	5	7	6	4	7	9	2
M26378Z	2	8	10	8	6	9	1	10	2	4
M26406L	2	5	4	3	7	5	5	6	4	5
M26414L	2	6	6	3	6	5	6	7	6	4
M26429T	2	2	1	2	3	2	6	2	10	4
M26443R	2	8	6	7	7	9	4	5	9	4
M26453T	2	2	1	2	1	2	9	6	7	4
M26463V	2	1	1	1	4	1	7	2	2	4
M26466Y	2	2	1	3	2	1	8	8	5	4
M26472W	2	2	2	2	2	3	5	8	6	6
M26488E	2	10	10	9	10	9	9	9	6	4
M26494C	2	6	9	8	4	6	2	6	1	6
M26499H	2	3	3	2	5	2	4	6	8	5
M26540R	2	3	3	3	3	4	7	7	2	4
M26555Y	2	8	7	9	6	4	9	7	2	4
M26613R	2	2	3	2	1	3	9	4	2	4
M26616U	2	2	3	1	3	4	5	3	6	4
M26658E	2	6	4	4	8	6	9	6	5	4
M26693H	2	5	4	6	7	4	5	2	9	4
M26703S	2	8	9	9	6	6	4	5	3	4
M26709Y	2	4	4	5	4	4	9	3	1	4
M26732X	2	3	3	3	6	2	4	7	8	4
M26782H	2	6	6	5	5	4	5	8	7	4
M26819D	2	1	1	1	2	1	7	2	2	4
M26838G	2	4	4	5	7	4	1	1	8	6
M26844E	2	10	10	10	10	9	4	10	7	4
M26848J	2	9	9	8	10	8	4	9	3	6
M26858L	2	7	7	7	9	8	1	4	10	3
M26873K	2	10	10	10	9	10	3	10	10	5
M26918F	2	5	6	4	3	4	5	9	6	4
M26924D	2	10	10	10	10	10	4	10	6	5
M26932D	2	3	2	4	2	2	3	6	3	1
M26942F	2	9	9	9	6	8	2	9	10	4
M26949N	2	10	9	9	7	10	9	9	3	5
M26960H	2	10	9	9	9	8	8	9	7	4
M26972M	2	3	2	4	2	2	9	5	2	4
M26981N	2	5	6	4	5	4	5	8	6	4
M26983Q	2	5	5	5	8	4	4	3	1	4
M26995U	2	10	10	10	7	6	6	7	5	4
M27033F	2	4	4	3	5	3	8	8	4	4
M27034G	2	1	1	2	4	1	9	1	2	4
M27050G	2	6	8	5	5	5	3	9	1	4
M27079V	2	4	3	5	2	4	9	4	2	4
M27098Y	2	4	3	4	5	4	7	3	2	4
M27105E	2	6	7	7	3	5	2	6	9	6
M27111C	2	3	3	2	2	5	4	4	10	5
M27114F	2	10	9	10	9	9	3	9	7	2
M27116H	2	4	5	5	4	2	7	1	5	4
M27119L	2	1	1	2	1	1	9	1	4	4
M27135L	2	8	7	8	5	9	5	5	5	4
M27140H	2	2	1	1	7	5	3	1	2	2
M27158T	2	4	4	3	6	3	9	8	5	4
M27185W	2	9	10	10	7	10	1	10	8	5
M27254S	2	8	9	9	9	8	1	8	5	6
M27291X	2	4	4	4	6	5	1	1	9	3
M27344T	2	6	5	6	5	5	9	4	2	4
M27351S	2	5	4	6	7	4	5	2	9	4
M27389G	2	5	4	4	7	4	7	6	2	4
M27396F	2	10	10	10	7	10	7	10	8	4
M27403M	2	2	2	2	3	3	5	2	6	4
M27445X	2	1	1	1	1	1	4	5	6	4
M27451V	2	1	1	1	3	1	6	7	3	4
M27480A	2	7	10	9	10	8	1	6	7	6
M27490C	2	10	9	7	7	9	8	9	10	4
M27570B	2	5	4	6	7	4	5	2	9	4
M27578K	2	4	4	4	5	4	9	3	3	4
M27579L	2	6	6	5	9	6	3	3	5	2
M27608Y	2	1	1	3	2	1	8	3	6	4
M27614W	2	2	2	3	2	1	8	9	7	4
M27617Z	2	8	7	8	7	8	2	6	7	6
M27634A	2	7	5	7	10	4	3	6	5	5
M27643B	2	5	4	5	7	3	5	4	10	5
M27650A	2	10	10	10	9	9	5	10	9	4
M27667K	2	10	10	10	10	10	9	10	6	4
M27704X	2	7	7	8	9	7	2	3	9	6
M27705Y	2	7	10	9	10	8	1	6	7	6
M27706Z	2	7	6	8	7	5	3	4	4	5
M27715A	2	3	4	4	2	3	3	5	5	5
M27761G	2	7	7	7	5	4	9	9	2	4
M27772K	2	7	10	9	10	8	1	6	7	6
M27782M	2	1	1	1	2	1	8	7	7	4
M27818G	2	6	5	4	6	4	9	8	5	4
M27833F	2	2	2	2	2	2	8	4	4	4
M27836J	2	9	9	9	6	8	2	9	10	4
M27837K	2	1	1	1	1	1	4	3	9	4
M27863M	2	2	2	2	2	2	3	6	8	4
M27871M	2	1	1	2	1	1	7	1	1	4
M27874Q	2	9	6	9	8	7	8	9	5	5
M27901A	2	1	1	1	2	4	3	2	1	4
M27970P	2	4	4	4	7	5	1	2	10	3
M27973S	2	1	1	1	1	1	4	3	9	4
M27984V	2	10	10	10	10	10	4	10	1	5
M27987Y	2	1	1	1	3	2	9	2	6	4
M27994X	2	2	4	4	1	3	3	7	4	5
M28025K	2	7	7	9	4	9	3	3	7	4
M28033K	2	2	1	2	1	2	9	6	7	4
M28059V	2	10	9	8	10	10	7	10	8	5
M28064S	2	2	2	1	1	4	9	1	8	4
M28070Q	2	2	2	3	2	1	8	9	7	4
M28081T	2	1	1	1	2	1	7	1	1	4
M28082U	2	10	10	10	10	10	9	10	5	4
M28111G	2	2	2	3	2	1	9	2	4	4
M28116M	2	8	7	6	7	6	6	4	9	1
M28131L	2	10	10	10	9	10	6	9	9	4
M28164V	2	2	2	1	7	1	9	3	7	4
M28175Y	2	5	7	3	4	6	5	5	5	4
M28191Y	2	2	1	3	2	1	8	8	5	4
M28199G	2	10	9	9	10	10	2	9	9	5
M28212L	2	8	6	9	9	7	3	4	5	4
M28215P	2	7	7	7	9	8	1	4	10	3
M28224Q	2	4	2	3	4	4	9	3	5	4
M28231P	2	4	4	4	5	2	2	3	5	6
M28274A	2	10	9	9	10	10	2	9	9	5
M28286E	2	6	7	7	3	5	2	6	9	6
M28289H	2	10	9	9	8	9	3	8	10	4
M28292C	2	3	3	3	3	4	7	7	2	4
M28303N	2	6	6	5	5	4	5	8	7	4
M28306R	2	7	7	5	4	7	7	8	4	4
M28316T	2	2	2	3	3	1	8	3	10	4
M28321Q	2	9	8	10	3	9	5	8	7	4
M28325U	2	4	5	3	5	6	2	8	9	6
M28345Y	2	4	4	4	4	3	5	6	5	4
M28347A	2	10	10	10	10	10	9	10	7	4
M28370Z	2	9	9	9	6	8	2	9	10	4
M28405T	2	2	2	3	3	1	4	3	4	4
M28410Q	2	6	8	7	3	4	5	8	2	4
M28412S	2	10	10	10	9	10	9	7	3	4
M28416W	2	5	3	5	8	5	3	3	8	4
M28419Z	2	5	5	4	4	4	8	8	2	4
M28443Z	2	10	8	9	10	10	6	10	2	5
M28452A	2	7	8	7	4	6	2	9	4	3
M28474G	2	1	1	2	4	1	9	1	2	4
M28481F	2	1	1	1	3	1	8	1	7	5
M28482G	2	4	4	3	4	4	3	8	7	5
M28483H	2	3	3	3	2	4	7	4	9	4
M28498Q	2	9	8	8	6	7	7	8	10	4
M28505W	2	2	3	2	4	2	9	1	7	1
M28520V	2	7	5	6	7	5	7	8	9	4
M28524Z	2	6	9	6	5	10	2	6	1	4
M28540Z	2	2	3	2	2	4	6	7	6	4
M28551C	2	10	10	10	10	10	4	10	6	5
M28563G	2	3	3	4	1	2	9	4	6	4
M28575L	2	6	6	4	7	7	4	7	2	4
M28591L	2	1	2	1	4	1	6	1	3	4
M28616C	2	6	5	7	5	2	9	9	8	4
M28642E	2	4	5	6	2	2	5	3	10	4
M28655K	2	2	2	2	3	3	5	2	6	4
M28684Q	2	6	7	5	6	5	3	8	3	4
M28703A	2	2	2	1	3	1	6	7	4	4
M28708F	2	7	6	7	7	4	9	4	2	4
M28717G	2	5	6	7	6	3	2	8	2	4
M28720B	2	2	1	4	5	2	9	2	1	4
M28740F	2	2	2	3	2	1	9	2	4	4
M28750H	2	7	6	8	7	5	3	4	4	5
M28752K	2	9	8	9	10	9	2	5	7	3
M28763N	2	6	4	4	8	6	9	6	5	4
M28832J	2	8	7	6	9	6	5	6	10	4
M28845P	2	2	3	2	2	6	2	4	9	5
M28848S	2	3	2	2	3	4	7	9	9	4
M28865T	2	7	7	7	5	7	3	8	5	4
M28886Y	2	9	9	9	6	8	2	9	10	4
M28900D	2	8	8	8	6	9	5	9	1	5
M28904H	2	10	10	9	8	9	6	10	3	4
M28935Q	2	2	2	2	2	3	5	8	6	6
M28991Y	2	2	2	2	1	3	5	8	4	4
M29016N	2	7	8	7	9	7	2	4	6	6
M29021K	2	3	2	4	3	2	9	5	3	4
M29022L	2	1	1	2	6	1	9	5	9	4
M29079D	2	1	1	1	2	1	7	2	2	4
M29090Y	2	1	1	2	3	1	9	3	4	4
M29093B	2	8	5	7	8	6	9	6	3	4
M29111L	2	2	1	2	4	2	9	2	7	4
M29116R	2	1	1	1	3	1	8	1	7	5
M29159C	2	5	4	6	7	4	5	2	9	4
M29161W	2	9	10	10	5	9	3	10	6	4
M29215T	2	2	3	2	2	4	6	7	6	4
M29216U	2	7	6	8	10	7	1	5	10	3
M29238A	2	1	1	2	4	1	9	1	2	4
M29254A	2	5	4	5	6	4	6	7	7	4
M29270A	2	8	10	10	3	9	2	9	6	6
M29273D	2	2	2	3	4	2	9	1	1	4
M29279K	2	1	1	2	4	1	9	1	2	4
M29296L	2	3	2	2	2	5	6	3	9	4
M29299P	2	10	10	10	10	10	2	10	8	4
M29308X	2	4	3	3	4	5	6	2	9	4
M29333Y	2	6	7	5	3	8	7	8	2	4
M29369L	2	3	3	3	2	5	4	5	7	4
M29385L	2	3	3	3	6	2	4	7	8	4
M29395N	2	2	1	2	5	1	9	4	2	4
M29397Q	2	1	1	2	1	1	9	1	4	4
M29399S	2	5	5	4	4	5	5	9	3	4
M29411V	2	2	3	3	3	1	5	4	6	5
M29423Z	2	3	3	4	3	3	4	1	5	5
M29436E	2	6	7	6	3	8	3	9	8	5
M29439H	2	10	10	10	10	9	8	10	10	4
M29448J	2	2	2	1	7	1	9	3	7	4
M29479R	2	10	10	10	10	10	6	10	8	4
M29533E	2	7	8	7	8	7	1	7	8	6
M29548M	2	10	9	9	10	10	2	9	9	5
M29560H	2	10	9	9	8	9	3	8	10	4
M29588V	2	2	2	2	2	2	3	6	8	4
M29610A	2	2	1	4	6	2	5	1	10	4
M29623F	2	3	3	1	4	6	3	6	6	4
M29647P	2	3	4	2	4	4	4	6	9	6
M29656Q	2	10	10	10	7	10	3	10	5	5
M29697Z	2	2	2	1	6	3	5	2	4	4
M29715J	2	9	8	6	5	8	9	9	10	4
M29754R	2	3	3	4	3	5	5	1	10	5
M29789C	2	6	7	9	6	5	3	4	2	5
M29806L	2	10	10	10	9	10	6	10	10	5
M29832N	2	2	2	2	3	2	7	3	2	4
M29843R	2	6	5	7	5	2	9	9	8	4
M29884A	2	6	5	7	5	2	9	9	8	4
M29897F	2	7	7	7	8	3	7	6	4	4
M29909S	2	4	3	3	4	6	7	6	7	4
M29938X	2	1	1	1	1	1	6	1	4	4
M29943U	2	10	10	9	10	10	4	10	5	5
M29950T	2	7	6	6	4	7	6	10	10	4
M29960V	2	2	1	2	5	1	9	4	2	4
M29962X	2	7	7	7	9	8	1	4	10	3
M29964Z	2	6	7	7	3	5	2	6	9	6
M29991C	2	8	6	8	6	6	9	6	3	4
M29996H	2	9	8	7	9	5	9	7	7	4
M30010Z	2	2	2	3	2	1	8	9	7	4
M30011A	2	10	10	9	7	10	5	10	7	4
M30012B	2	4	4	4	5	2	2	3	5	6
M30031E	2	2	2	5	4	1	4	7	1	4
M30036K	2	2	3	2	2	4	6	7	6	4
M30125K	2	4	4	3	4	4	3	8	7	5
M30137P	2	10	9	9	10	9	7	9	7	4
M30139R	2	2	1	3	3	2	9	5	3	4
M30151M	2	2	2	2	3	2	3	5	4	5
M30162Q	2	9	9	10	9	9	2	9	10	6
M30167V	2	2	2	2	3	4	4	5	7	5
M30171R	2	4	3	4	5	5	8	2	9	4
M30196A	2	9	8	7	10	7	7	10	6	4
M30199D	2	6	5	4	6	4	9	6	3	4
M30212H	2	10	9	10	9	7	9	5	4	4
M30226P	2	1	1	2	4	1	8	6	10	4
M30235Q	2	1	1	1	3	2	4	5	10	5
M30242P	2	1	1	1	1	1	8	7	9	4
M30261S	2	1	1	1	1	5	9	3	6	4
M30263U	2	2	2	3	2	1	8	9	7	4
M30280V	2	7	6	7	4	5	6	6	6	4
M30305M	2	5	5	4	7	5	6	2	2	4
M30307P	2	2	3	4	1	2	7	1	8	4
M30317R	2	8	7	8	8	5	6	6	3	4
M30344U	2	3	2	2	2	5	6	3	9	4
M30346W	2	9	9	10	10	9	2	7	6	3
M30407S	2	3	2	4	2	2	3	6	3	1
M30490D	2	4	3	3	4	6	7	6	7	4
M30521T	2	2	4	4	1	3	3	7	4	5
M30542Y	2	3	2	3	5	3	9	3	2	4
M30549F	2	7	7	8	7	6	3	2	10	4
M30552A	2	10	10	9	8	9	6	10	3	4
M30554C	2	2	2	2	2	2	3	6	8	4
M30559H	2	8	7	8	9	7	1	8	9	6
M30564E	2	9	10	10	10	10	3	9	1	5
M30574G	2	9	7	8	7	7	9	8	3	4
M30583H	2	2	2	2	4	2	4	4	6	5
M30585K	2	4	3	4	3	4	5	6	8	5
M30587M	2	9	7	8	6	9	9	4	9	4
M30593K	2	7	10	9	10	8	1	6	7	6
M30615Y	2	5	5	6	7	7	2	2	4	3
M30622X	2	8	7	6	7	6	6	4	9	1
M30623Y	2	10	10	10	10	10	2	10	8	4
M30644D	2	7	8	6	8	7	3	9	3	4
M30650B	2	8	7	8	9	7	1	8	9	6
M30671G	2	5	6	6	3	7	1	5	10	3
M30685N	2	8	7	8	9	7	1	8	9	6
M30721Z	2	5	5	3	5	9	7	8	4	4
M30730A	2	10	10	10	10	10	1	10	9	4
M30748L	2	9	9	8	6	10	4	10	9	4
M30788U	2	10	10	10	10	10	6	10	2	4
M30809G	2	4	2	3	4	4	9	3	5	4
M30852K	2	9	10	9	7	10	3	10	2	4
M30853L	2	9	10	9	9	9	2	8	6	6
M30859S	2	1	1	1	1	1	9	8	5	4
M30863N	2	2	2	1	3	1	6	7	4	4
M30912E	2	9	7	7	6	6	9	7	10	4
M30915H	2	5	4	6	7	3	6	5	9	4
M30938Q	2	4	7	7	2	4	2	3	5	4
M30977X	2	10	10	10	9	9	5	10	9	4
M31002D	2	3	3	4	6	1	9	1	9	4
M31029Q	2	5	4	4	7	4	7	6	2	4
M31058V	2	9	9	8	9	8	3	6	8	4
M31062R	2	10	10	9	10	10	4	10	5	5
M31063S	2	6	9	10	1	8	3	8	10	4
M31075W	2	6	9	5	4	7	8	9	1	4
M31086Z	2	10	10	10	10	10	6	10	7	4
M31096B	2	5	5	3	5	9	7	8	4	4
M31115M	2	1	1	1	2	1	8	7	7	4
M31131M	2	6	6	5	5	4	5	8	7	4
M31134Q	2	4	3	3	3	4	5	8	4	4
M31146U	2	9	8	8	10	6	7	7	2	4
M31149X	2	3	3	2	4	3	7	6	4	4
M31164W	2	3	5	5	1	4	3	6	3	4
M31195D	2	10	10	9	10	10	4	10	5	5
M31228V	2	7	6	8	8	6	2	4	7	2
M31241S	2	2	2	3	4	1	9	3	2	5
M31248Z	2	5	5	9	9	3	4	2	1	4
M31265A	2	6	9	8	4	6	2	6	1	6
M31287G	2	1	1	2	2	1	9	2	2	4
M31299L	2	4	3	4	3	3	9	6	3	4
M31300L	2	1	1	2	7	1	9	3	9	4
M31319X	2	4	4	3	5	3	9	2	4	4
M31327X	2	7	5	7	10	4	3	6	5	5
M31343X	2	7	7	8	6	5	9	5	1	4
M31346A	2	4	4	3	5	3	9	2	4	4
M31356C	2	1	1	1	2	1	9	1	1	4
M31359F	2	7	7	8	9	7	2	3	9	6
M31372C	2	1	1	1	1	2	9	2	2	4
M31430V	2	1	1	1	2	1	4	4	1	4
M31444B	2	3	3	2	2	5	4	4	10	5
M31490H	2	1	2	1	2	1	4	8	7	5
M31511V	2	2	2	1	6	3	5	2	4	4
M31519D	2	9	7	8	6	9	9	4	9	4
M31526C	2	3	2	4	2	2	3	6	3	1
M31530Y	2	2	2	2	6	2	9	3	1	4
M31560E	2	4	3	4	3	4	5	6	8	5
M31567M	2	10	10	10	8	9	2	9	8	6
M31584N	2	3	5	5	1	4	3	6	3	4
M31590L	2	4	5	6	4	5	2	1	9	6
M31591M	2	10	10	10	10	9	1	9	8	5
M31593P	2	5	4	5	5	6	3	9	4	4
M31624D	2	10	9	7	7	9	8	9	10	4
M31649N	2	8	6	8	9	9	9	5	2	5
M31678T	2	10	10	10	10	10	7	9	5	4
M31698X	2	2	1	2	2	2	9	4	6	4
M31700Y	2	10	10	10	6	10	4	10	7	5
M31702A	2	1	2	1	2	2	4	7	5	4
M31716G	2	10	10	10	10	10	6	10	7	4
M31745M	2	5	4	5	6	4	6	7	7	4
M31754N	2	4	3	4	4	4	9	7	6	4
M31780Q	2	7	6	7	7	4	9	4	2	4
M31790S	2	9	8	7	7	6	5	8	8	4
M31797Z	2	4	5	5	3	3	4	5	6	4
M31812F	2	8	7	8	8	5	6	6	3	4
M31842M	2	5	5	5	8	4	4	3	1	4
M31868X	2	3	2	2	5	3	7	4	1	4
M31899E	2	3	2	2	3	4	7	9	9	4
M31906L	2	6	7	7	3	5	2	6	9	6
M31912J	2	6	7	6	8	7	1	6	4	6
M31923M	2	1	1	2	3	1	6	4	1	4
M31928S	2	4	4	3	5	3	9	1	1	4
M31941P	2	3	3	3	3	4	7	7	2	4
M31970U	2	2	2	2	1	4	9	3	6	4
M31988E	2	3	2	4	2	2	9	5	2	4
M31997F	2	10	10	9	10	10	4	10	5	5
M32003J	2	9	7	8	6	9	9	4	9	4
M32006M	2	3	2	4	5	2	9	4	5	4
M32007N	2	9	7	7	8	6	9	7	8	4
M32013L	2	5	6	6	10	6	1	8	1	5
M32032P	2	10	9	9	7	10	9	9	3	5
M32045U	2	9	8	8	5	6	9	7	4	4
M32047W	2	4	4	5	7	4	1	1	8	6
M32052T	2	9	9	10	8	8	6	1	8	2
M32074Z	2	5	4	6	7	4	5	2	9	4
M32085C	2	7	5	7	7	4	6	4	10	4
M32104N	2	4	3	4	4	6	4	3	10	5
M32128W	2	4	4	4	5	2	2	3	5	6
M32149B	2	3	3	2	4	6	6	1	8	4
M32155Z	2	4	5	4	3	6	2	6	6	4
M32160W	2	9	9	10	9	9	2	9	10	6
M32170Y	2	3	3	3	8	2	5	7	3	4
M32173B	2	4	4	4	5	6	1	4	7	3
M32177F	2	3	3	3	8	2	5	7	3	4
M32189K	2	2	3	2	1	5	7	2	1	4
M32212R	2	7	7	8	6	5	9	5	1	4
M32215U	2	1	2	1	1	2	8	4	6	4
M32241W	2	3	3	3	5	3	9	2	1	4
M32261A	2	6	4	4	8	6	9	6	5	4
M32273E	2	1	1	2	1	1	9	1	4	4
M32299Q	2	7	6	5	6	6	9	9	3	4
M32328C	2	4	3	5	7	5	3	2	4	4
M32331X	2	2	3	1	3	4	5	3	6	4
M32336C	2	4	4	5	7	4	1	1	8	6
M32349H	2	7	5	6	5	6	8	6	7	4
M32354E	2	9	9	8	9	8	3	6	8	4
M32355F	2	6	8	7	3	4	5	8	2	4
M32396Q	2	5	7	6	2	6	6	8	4	4
M32397R	2	9	6	9	7	8	7	8	8	4
M32420X	2	4	3	4	4	4	9	7	6	4
M32423A	2	4	4	4	5	4	9	3	3	4
M32425C	2	3	3	4	3	5	5	1	10	5
M32435E	2	8	7	6	9	6	5	6	10	4
M32449L	2	6	5	7	7	5	9	7	1	4
M32451E	2	9	8	10	3	9	5	8	7	4
M32469Q	2	2	2	2	3	3	5	2	6	4
M32524E	2	4	3	3	3	4	5	8	4	4
M32540E	2	7	5	6	5	6	8	6	7	4
M32676V	2	5	5	3	6	6	4	8	6	4
M32718N	2	2	1	3	2	1	8	8	5	4
M32729R	2	10	10	10	10	10	2	10	8	4
M32761R	2	9	8	9	3	10	6	9	10	4
M32766W	2	8	8	8	10	8	1	4	9	3
M32781V	2	9	8	8	10	6	7	7	2	4
M32802H	2	2	2	5	4	1	4	7	1	4
M32840P	2	5	6	3	4	7	7	4	4	4
M32841Q	2	10	10	10	9	10	8	9	5	4
M32852T	2	7	6	4	8	7	9	4	6	4
M32909T	2	9	7	6	9	8	9	6	2	4
M32929X	2	6	6	5	5	4	5	8	7	4
M32957B	2	1	1	1	2	2	5	2	4	4
M32959D	2	2	2	4	3	1	9	1	6	4
M32980A	2	10	10	10	9	10	3	10	10	4
M32991D	2	10	10	9	9	7	8	9	9	4
M33006R	2	3	3	2	5	2	4	6	8	5
M33009U	2	9	9	8	6	10	4	10	9	4
M33022R	2	7	10	8	9	5	2	7	1	4
M33040T	2	10	10	10	10	10	6	10	7	4
M33049C	2	2	3	4	1	2	7	1	8	4
M33051W	2	3	3	4	6	3	7	2	1	4
M33068F	2	1	1	1	2	4	3	2	1	4
M33078H	2	2	1	3	2	1	8	8	5	4
M33082D	2	2	1	2	3	2	6	2	10	4
M33083E	2	10	10	10	10	10	9	10	6	4
M33085G	2	7	9	8	9	9	1	5	10	3
M33105T	2	2	2	1	3	3	6	6	1	4
M33137B	2	7	5	7	6	5	9	4	4	5
M33193K	2	3	2	3	4	2	5	5	9	5
M33211U	2	1	1	2	3	1	6	4	1	4
M33214X	2	3	2	3	5	4	4	7	8	6
M33227C	2	2	4	4	1	3	3	7	4	5
M33248H	2	2	1	4	3	1	7	6	3	4
M33290K	2	9	9	8	9	8	3	6	8	4
M33293N	2	8	9	5	8	7	6	10	4	5
M33296R	2	3	2	3	7	3	6	5	1	4
M33348L	2	10	10	9	8	9	6	10	3	4
M33369R	2	10	9	9	10	10	3	8	10	4
M33382N	2	4	3	4	4	4	9	7	6	4
M33416F	2	6	6	4	7	7	4	7	2	4
M33417G	2	8	9	9	9	8	1	8	5	6
M33419J	2	8	8	10	9	8	2	4	3	6
M33420B	2	10	9	7	7	9	8	9	10	4
M33440F	2	9	10	9	7	4	5	6	10	4
M33476T	2	3	3	2	4	6	6	1	8	4
M33494V	2	5	6	5	2	6	5	8	3	4
M33495W	2	3	4	5	1	6	9	5	2	4
M33507H	2	9	7	7	8	6	9	7	8	4
M33534L	2	6	5	6	4	7	9	1	6	4
M33543M	2	7	5	7	8	6	7	6	1	5
M33546Q	2	7	7	8	3	8	7	6	3	4
M33555R	2	2	1	2	1	2	9	6	7	4
M33569X	2	10	10	10	9	10	3	10	10	4
M33631L	2	9	9	8	9	8	3	6	8	4
M33641N	2	3	2	3	5	1	9	5	6	4
M33648V	2	6	6	6	3	5	6	4	8	4
M33672V	2	3	3	3	5	3	9	2	1	4
M33687C	2	1	1	3	3	1	9	1	5	4
M33703K	2	5	6	4	3	5	4	7	4	5
M33716Q	2	10	9	9	7	10	9	9	9	4
M33741R	2	5	5	3	4	5	4	4	9	5
M33773Z	2	3	5	5	1	4	3	6	3	4
M33792C	2	2	3	2	2	6	2	4	9	5
M33802M	2	2	4	3	1	5	7	6	1	4
M33808T	2	2	1	2	1	2	9	6	7	4
M33825U	2	7	9	7	5	5	6	10	1	4
M33830R	2	4	4	4	8	7	1	3	5	3
M33842V	2	2	2	5	4	1	4	7	1	4
M33845Y	2	1	1	3	2	1	8	3	6	4
M33850V	2	8	6	8	6	6	9	6	3	4
M33855A	2	9	9	9	9	8	2	6	8	5
M33856B	2	4	4	5	7	4	1	1	8	6
M33868F	2	8	7	9	7	7	2	7	6	6
M33895J	2	1	1	2	1	2	7	5	10	4
M33924W	2	2	3	3	3	1	5	4	6	5
M33926Y	2	9	8	9	3	10	6	9	10	4
M33929B	2	7	8	8	6	9	9	3	1	4
