MCSID	FACTRY00	FAREGN00	FDRSPO00	FDMINT00	FDPINT00	FDHTYP00	FDHTYS00	FDRELP00	FDNATM00	FDMINH00	FDNATF00	FDFINH00	FDOTHS00	FDNOCM00	FDTOTS00	FDNSIB00	FDHSIB00	FDSSIB00	FDASIB00	FDFSIB00	FDGPAR00	FDOTHA00	FDNUMH00	FDTOTP00	FDHLAN00	FDROOW00	FDCWRK00	FOEDE000	FOEDP000	FOECDUK0	FOECDSC0
M20976R	1	7	1	1	4	15	2	-1	1	1	3	3	3	1	4	1	2	2	2	2	2	2	4	5	4	2	5	389.53	0	3	3
M20977S	1	1	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	6	6	269.93	1	2	2
M20978T	1	6	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	1	504.82	0	4	4
M20980M	1	3	2	1	1	2	1	2	1	1	4	2	0	1	1	2	2	2	2	2	2	2	2	3	1	1	1	607.77	0	5	5
M20981N	4	12	1	1	4	15	2	-1	1	1	4	2	2	1	3	2	1	2	2	2	2	2	3	4	1	6	5	262.74	1	2	2
M20986T	1	9	1	1	4	15	2	-1	1	1	4	2	2	1	3	2	1	2	2	2	2	2	3	4	1	4	6	188.9	1	1	1
M20987U	1	8	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	1	2	2	2	2	2	3	4	1	6	5	364.23	0	3	3
M20989W	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	3	342.69	0	3	3
M20990P	1	3	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	372.91	0	3	3
M20991Q	4	12	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	503.97	0	4	5
M20996V	3	11	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	1	462.15	0	4	3
M20998X	1	9	4	1	4	2	1	1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	5	1	415.77	0	3	3
M20999Y	1	9	2	1	1	2	1	2	1	1	4	2	3	1	4	1	1	1	2	2	2	2	5	6	1	6	1	286.27	0	2	2
M21000W	1	9	1	1	4	15	2	-1	1	1	3	3	3	1	4	1	1	2	2	2	2	2	4	5	1	4	6	172.94	1	1	1
M21003Z	3	11	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	486.89	0	4	4
M21004A	1	5	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	2	1	229	1	2	2
M21008E	4	12	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	5	4	161.76	1	1	1
M21009F	2	10	1	1	4	15	2	-1	1	1	3	3	2	1	3	1	2	2	2	2	2	2	3	4	1	4	6	180.69	1	1	1
M21011Z	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	514.1	0	4	4
M21020A	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	528.28	0	4	4
M21029K	1	6	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	1	417.36	0	3	3
M21034G	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	5	1	359.8	0	3	3
M21036J	2	10	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	1	2	6	7	1	2	1	487.78	0	4	4
M21037K	1	2	2	1	1	2	1	1	1	1	4	2	3	1	4	1	1	2	2	2	2	2	5	6	1	5	3	206.7	1	1	1
M21038L	2	10	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	6	6	283.18	1	2	2
M21039M	1	3	2	1	1	11	1	1	4	2	4	2	1	1	2	1	2	2	2	2	1	2	6	7	1	1	3	324.1	0	3	3
M21041F	1	3	2	1	1	2	1	2	1	1	4	2	4	1	5	1	2	1	2	2	2	2	6	7	1	4	1	226.65	1	2	2
M21045K	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	299.55	0	2	3
M21052J	1	5	1	1	4	15	2	-1	1	1	3	3	0	1	1	2	2	2	2	2	2	2	1	2	1	4	6	174.96	1	1	1
M21054L	1	9	4	1	4	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	3	4	1	1	3	402.26	0	3	3
M21056N	2	10	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	2	2	2	2	4	5	1	2	3	248.99	1	2	2
M21057P	4	12	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	381.31	0	3	4
M21061K	2	10	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	472.77	0	4	4
M21063M	1	8	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	5	5	235.66	1	2	2
M21065P	2	10	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	3	217.14	1	1	1
M21066Q	1	3	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	-2	4	5	1	6	5	291.31	0	2	2
M21068S	1	7	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	-1	5	270.3	1	2	2
M21069T	3	11	2	1	1	2	1	2	1	1	4	2	2	1	3	1	1	2	2	2	2	2	4	5	1	5	1	294.53	0	2	2
M21070L	1	6	2	1	1	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	6	1	464.59	0	4	4
M21072N	2	10	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	700.88	0	5	5
M21073P	1	4	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	6	5	274.46	1	2	2
M21076S	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	507.59	0	4	4
M21084S	1	2	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	5	5	310.64	0	3	3
M21086U	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	775.69	0	5	5
M21089X	1	5	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	1	2	6	7	3	1	3	214.13	1	1	1
M21091R	2	10	1	1	4	16	2	-1	4	2	1	1	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	301.1	0	2	2
M21094U	1	6	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	4	6	227.51	1	2	2
M21096W	1	8	4	1	4	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	1	338.19	0	3	3
M21103C	1	4	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	360.35	0	3	3
M21104D	1	2	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	251.41	1	2	2
M21106F	1	9	1	1	4	21	2	-1	4	2	4	2	1	1	2	1	2	2	2	2	2	1	2	3	1	5	5	273.17	1	2	2
M21108H	1	6	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	2	548.67	0	4	4
M21110B	1	4	1	1	4	16	2	-1	4	2	1	1	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	315.01	0	3	3
M21111C	1	5	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	417.06	0	3	3
M21113E	1	9	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	528.8	0	4	4
M21114F	1	7	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	292.61	0	2	2
M21115G	1	8	3	1	2	1	1	1	1	1	2	1	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	683.86	0	5	5
M21116H	1	8	1	1	4	16	2	-1	4	2	1	1	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	458.55	0	4	4
M21117J	1	8	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	757.72	0	5	5
M21122F	1	3	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	6	6	233.28	1	2	2
M21123G	1	1	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	462.87	0	4	4
M21124H	1	4	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	519.64	0	4	4
M21129N	1	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	680.73	0	5	5
M21131G	1	4	4	1	4	2	1	2	1	1	4	2	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	487.15	0	4	4
M21132H	1	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	462.49	0	4	4
M21134K	1	7	1	1	4	15	2	-1	1	1	4	2	5	1	6	1	2	2	2	2	1	2	7	8	3	5	5	214.67	1	1	1
M21135L	2	10	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	6	4	290.11	0	2	2
M21140H	1	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	342.57	0	3	3
M21141J	1	3	2	1	1	2	1	1	1	1	4	2	2	1	3	1	1	2	2	2	2	2	4	5	1	2	1	414.02	0	3	3
M21144M	1	8	1	1	4	15	2	-1	1	1	4	2	3	1	4	2	1	2	2	2	2	2	4	5	1	5	6	195.87	1	1	1
M21149S	1	8	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	1	3	4	1	4	5	264.34	1	2	2
M21150K	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	358.72	0	3	3
M21152M	1	3	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	1	1	458.86	0	4	4
M21154P	4	12	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	2	2	2	4	5	1	2	6	249.97	1	2	2
