MCSID	GCNUM00	GCCHIC100	GCNAEX00	GCNAEG1	GCNAEG2	GCNAEG3	GCNAAS0A	GCNAAS0B	GCNAAS0C	GCNAAS0D	GCNAAS0E	GCNAAS0F	GCNAAS0G	GCNAAS0H	GCNAAS0I	GCNAAS0J
M10575X	1	1	5	2	1	4	5	4	3	1	4	2	5	3	4	2
M10576Y	1	1	5	2	1	4	5	1	3	4	3	2	4	3	1	3
M10579B	1	1	5	2	3	5	5	1	3	1	4	4	4	1	4	5
M10582W	1	1	5	2	1	4	5	1	3	4	1	5	4	2	5	3
M10585Z	1	1	5	3	4	3	5	5	4	2	3	2	2	5	6	6
M10588C	1	1	5	2	3	3	5	4	5	3	3	3	3	2	4	5
M10595B	1	1	5	2	1	4	5	1	4	6	5	3	5	6	5	3
M10596C	1	1	5	2	1	4	3	2	3	5	1	3	2	5	4	3
M10597D	1	1	5	2	1	4	5	1	3	4	1	5	4	1	2	6
M10598E	1	1	5	2	1	4	5	1	3	4	1	4	4	1	6	6
M10603J	1	1	5	2	1	4	5	1	5	1	3	4	3	5	3	2
M10605L	1	1	5	2	1	4	5	1	3	4	1	5	2	3	4	5
M10610H	1	1	5	2	1	4	5	2	3	4	5	1	4	2	4	3
M10611J	1	1	5	2	1	4	5	1	2	4	1	5	4	4	2	4
M10611J	2	1	5	2	1	4	5	1	3	4	1	5	4	6	6	6
M10612K	1	1	5	2	1	4	5	1	3	4	1	5	4	6	2	6
M10614M	1	1	5	2	1	4	6	1	3	4	1	6	4	6	3	4
M10616P	1	1	5	2	1	4	5	1	3	4	3	5	6	6	6	6
M10617Q	1	1	5	2	1	3	5	3	3	4	1	1	2	5	3	2
M10620K	1	1	5	2	1	4	5	1	5	5	3	4	6	6	6	6
M10624P	1	1	5	2	1	4	5	1	3	4	1	5	5	6	6	6
M10627S	1	1	5	2	1	4	5	1	3	4	3	5	4	3	4	5
M10629U	1	1	5	2	1	4	3	2	3	1	2	2	1	1	3	3
M10632P	1	1	5	2	1	4	5	6	3	4	1	5	4	5	2	2
M10639W	1	1	5	2	1	4	5	2	5	5	4	3	5	5	5	5
M10640P	1	1	5	2	1	4	5	3	4	3	5	3	4	5	4	4
M10641Q	1	1	5	2	1	3	2	2	3	1	4	5	5	2	1	2
M10642R	1	1	5	2	4	1	2	4	3	1	2	2	1	5	3	2
M10647W	1	1	5	2	1	4	5	1	3	2	4	5	5	2	6	6
M10648X	1	1	5	2	1	4	5	1	3	4	5	2	4	4	3	5
M10650R	1	1	5	2	1	4	5	1	3	4	1	5	4	4	5	3
M10655W	1	1	5	2	1	4	5	1	3	3	1	4	4	4	2	5
M10656X	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10658Z	1	1	5	2	1	4	6	1	3	4	1	6	6	6	6	6
M10660T	1	1	5	2	1	4	5	1	3	4	2	5	4	4	5	5
M10668B	1	1	5	2	1	4	5	1	3	4	1	5	4	4	6	6
M10672X	1	1	5	2	1	4	2	4	3	2	3	6	6	6	6	6
M10674Z	1	1	5	2	1	4	5	1	3	4	1	5	5	4	5	6
M10675A	1	1	5	2	1	4	1	2	3	2	3	2	3	3	6	6
M10676B	1	1	5	2	1	4	1	1	3	5	1	5	3	4	2	2
M10677C	1	1	5	2	1	4	5	1	5	4	1	3	4	6	6	6
M10679E	1	1	5	2	4	4	2	1	3	3	4	2	1	3	3	2
M10680X	1	1	5	2	1	4	5	1	3	3	1	4	2	4	5	6
M10682Z	1	1	5	2	1	4	5	1	3	4	6	5	4	4	2	6
M10685C	1	1	5	2	1	4	3	3	3	3	4	2	3	2	4	6
M10690Z	1	1	5	2	1	4	5	1	3	4	1	5	4	4	5	2
M10691A	1	1	5	2	1	4	5	1	3	4	6	5	6	6	6	6
M10692B	1	1	5	2	4	3	5	2	5	5	3	3	5	3	3	5
M10693C	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10694D	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	4
M10699J	1	1	5	2	1	4	5	1	3	4	1	4	2	3	4	5
M10707R	1	1	5	2	1	6	5	1	3	4	2	3	6	6	6	6
M10709T	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10718U	1	1	5	2	1	4	5	1	3	4	1	5	3	4	2	4
M10722Q	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10724S	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10728W	1	1	5	2	1	3	5	1	3	4	2	3	4	3	3	4
M10731R	1	1	5	2	1	4	5	2	5	2	4	2	3	6	2	2
M10732S	1	1	5	2	3	3	5	2	4	3	2	3	4	3	2	3
M10733T	1	1	5	2	3	3	5	4	4	1	6	6	6	6	6	6
M10740S	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10741T	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	3
M10742U	1	1	5	2	1	4	5	1	3	4	6	5	4	4	2	6
M10747Z	1	1	5	2	1	4	5	1	1	4	1	5	4	3	5	6
M10750U	1	1	5	2	1	4	3	3	5	3	4	3	4	5	4	3
M10751V	1	1	5	2	1	4	5	1	3	2	1	5	4	4	2	2
M10755Z	1	1	5	2	1	3	5	5	3	4	5	3	4	5	6	6
M10762Y	1	1	5	2	1	4	5	3	4	2	4	2	3	4	5	3
M10766C	1	1	5	2	1	4	5	1	3	4	1	5	4	4	3	3
M10769F	1	1	5	2	1	4	5	6	4	1	3	6	6	6	6	6
M10770Y	1	1	5	2	1	5	5	2	3	3	2	5	4	4	2	6
M10772A	1	1	5	2	1	4	5	2	5	1	3	3	5	3	4	3
M10775D	1	1	5	2	1	4	5	1	3	4	1	5	4	4	4	5
M10776E	1	1	5	2	1	4	5	3	3	4	1	5	4	4	2	6
M10781B	1	1	5	2	1	4	5	1	4	4	1	5	2	6	6	6
M10782C	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10788J	1	1	5	2	1	4	2	1	3	4	1	5	3	4	5	2
M10789K	1	1	5	2	1	3	3	3	5	4	3	4	2	3	4	3
M10791D	1	1	5	2	1	4	5	3	3	4	6	3	6	6	6	6
M10792E	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10794G	1	1	5	2	1	5	5	3	2	2	4	3	5	2	4	2
M10795H	1	1	5	2	1	4	5	6	3	2	4	3	6	6	6	6
M10798L	1	1	5	2	1	4	2	1	5	2	4	3	4	2	3	2
M10800M	1	1	5	2	2	3	4	1	4	4	2	5	4	4	2	3
M10801N	1	1	5	2	1	4	5	1	3	4	1	2	4	1	3	4
